EntityID	NER	RAG	UAL
https://refidao.com/urn:profile:Adin	Adin	type: Person; Adin; jobtitle: Founder; publicprofilechecked: checked	did:dkg:otp/0x5cac41237127f94c2d21dae0b14bfefa99880630/4162148
https://refidao.com/urn:profile:AdityaNirvaanRanganathan	Aditya Nirvaan Ranganathan	type: Person; Aditya Nirvaan Ranganathan; publicprofilechecked: checked; ispartof: ReFiInAction	did:dkg:otp/0x5cac41237127f94c2d21dae0b14bfefa99880630/4162148
https://refidao.com/urn:profile:AdminReFiColombia	Admin ReFi Colombia; Join the movement towards more sustainable & equitable future in Colombia	type: Person; Admin ReFi Colombia; Join the movement towards more sustainable & equitable future in Colombia; description: Join the movement towards more sustainable & equitable future in Colombia; jobtitle: Founder; publicprofilechecked: checked	did:dkg:otp/0x5cac41237127f94c2d21dae0b14bfefa99880630/4162148
https://refidao.com/urn:profile:AdminReFiLatinAmrica	Admin ReFi Latin Amrica	type: Person; Admin ReFi Latin Amrica; jobtitle:  Contributor; publicprofilechecked: checked; memberof: Event Organizers	did:dkg:otp/0x5cac41237127f94c2d21dae0b14bfefa99880630/4162148
https://refidao.com/urn:profile:AdminRefiMedelln	Admin Refi Medelln; Join the movement towards a more sustainable and equitable future in #Medelln	type: Person; Admin Refi Medelln; Join the movement towards a more sustainable and equitable future in #Medelln; description: Join the movement towards a more sustainable and equitable future in #Medelln; jobtitle:  Contributor; publicprofilechecked: checked; memberof: la educacin y la accin comunitaria.; creatorof: ReFi Medelln,ReFi Colombia; attendeeof: Aventura ReFi: Desvelando el futuro de ReFi Medelln a travs del juego	did:dkg:otp/0x5cac41237127f94c2d21dae0b14bfefa99880630/4162148
https://refidao.com/urn:profile:AdolfoCasabal	Adolfo Casabal; Social Entrepreneur with a degree in business and philosophy, building solutions at the intersection of technology and art to cultivate environmental change.\n	type: Person; Adolfo Casabal; Social Entrepreneur with a degree in business and philosophy, building solutions at the intersection of technology and art to cultivate environmental change.\n; description: Social Entrepreneur with a degree in business and philosophy, building solutions at the intersection of technology and art to cultivate environmental change.\n; jobtitle: Founder; publicprofilechecked: checked; knowsabout: Animals,Biodiversity,Ocean,Water; knowslanguage: English,Spanish; alumniof: Coral Tribe	did:dkg:otp/0x5cac41237127f94c2d21dae0b14bfefa99880630/4162148
https://refidao.com/urn:profile:AdrianWons	Adrian Wons	type: Person; Adrian Wons; jobtitle: Founder; publicprofilechecked: checked; alumniof: SENKEN	did:dkg:otp/0x5cac41237127f94c2d21dae0b14bfefa99880630/4162148
https://refidao.com/urn:profile:Aether	Aether;  Generate a yield + environmental & social impact by participating in the funding of climate projects using Gaia! \n\nWeb3  ReFi	type: Person; Aether;  Generate a yield + environmental & social impact by participating in the funding of climate projects using Gaia! \n\nWeb3  ReFi; description:  Generate a yield + environmental & social impact by participating in the funding of climate projects using Gaia! \n\nWeb3  ReFi; jobtitle: Founder; publicprofilechecked: checked; alumniof: Gaia	did:dkg:otp/0x5cac41237127f94c2d21dae0b14bfefa99880630/4162148
https://refidao.com/urn:profile:AgustinMatteri	Agustin Matteri; Messari for socio-environmental integrity of ReFi	type: Person; Agustin Matteri; Messari for socio-environmental integrity of ReFi; description: Messari for socio-environmental integrity of ReFi; jobtitle: Founder; publicprofilechecked: checked; attendeeof: LeapfroggingtosocioenvironmentallyintegralNaturebasedSolutionsBuildingoverlearningsfromtheinternationalcooperationsystem	did:dkg:otp/0x5cac41237127f94c2d21dae0b14bfefa99880630/4162148
https://refidao.com/urn:profile:AhmedHussain	Ahmed Hussain; Frugal Biofoundries, Bioremediation/Bioeconomy/Biorisk Policy, Biotech Industry Research, Nanotechnological Food Waste Transformation, Molecular Docking	type: Person; Ahmed Hussain; Frugal Biofoundries, Bioremediation/Bioeconomy/Biorisk Policy, Biotech Industry Research, Nanotechnological Food Waste Transformation, Molecular Docking; description: Frugal Biofoundries, Bioremediation/Bioeconomy/Biorisk Policy, Biotech Industry Research, Nanotechnological Food Waste Transformation, Molecular Docking; jobtitle:  Contributor; publicprofilechecked: checked; knowsabout: Ecosystem Regeneration; knowslanguage: English,Spanish,Arabic	did:dkg:otp/0x5cac41237127f94c2d21dae0b14bfefa99880630/4162148
https://refidao.com/urn:profile:AhmetzcanArapaslan	Ahmet zcan Arapaslan; I have been actively working in a blockchain company for 3 years. Starting as a developer in the blockchain world, I have now transitioned into a marketing role. I have assisted in the development of various products and currently, I find partnerships, represent Omchain at events, and research market gaps.	type: Person; Ahmet zcan Arapaslan; I have been actively working in a blockchain company for 3 years. Starting as a developer in the blockchain world, I have now transitioned into a marketing role. I have assisted in the development of various products and currently, I find partnerships, represent Omchain at events, and research market gaps.; description: I have been actively working in a blockchain company for 3 years. Starting as a developer in the blockchain world, I have now transitioned into a marketing role. I have assisted in the development of various products and currently, I find partnerships, represent Omchain at events, and research market gaps.; jobtitle: Researcher; publicprofilechecked: checked	did:dkg:otp/0x5cac41237127f94c2d21dae0b14bfefa99880630/4162148
https://refidao.com/urn:profile:Ahsan	Ahsan	type: Person; Ahsan; jobtitle:  Contributor; publicprofilechecked: checked	did:dkg:otp/0x5cac41237127f94c2d21dae0b14bfefa99880630/4162148
https://refidao.com/urn:profile:AiningLiang	Aining Liang	type: Person; Aining Liang; publicprofilechecked: checked	did:dkg:otp/0x5cac41237127f94c2d21dae0b14bfefa99880630/4162148
https://refidao.com/urn:profile:AjmalMuhammad	Ajmal Muhammad; I am a communication network engineer with a PhD degree. I have worked in academia as well as in industries related to wireless communication.  Since 2019, I have been active in the blockchain space and am currently working as a blockchain engineer at Enoda Tech that Harmonizing Energy.	type: Person; Ajmal Muhammad; I am a communication network engineer with a PhD degree. I have worked in academia as well as in industries related to wireless communication.  Since 2019, I have been active in the blockchain space and am currently working as a blockchain engineer at Enoda Tech that Harmonizing Energy.; description: I am a communication network engineer with a PhD degree. I have worked in academia as well as in industries related to wireless communication.  Since 2019, I have been active in the blockchain space and am currently working as a blockchain engineer at Enoda Tech that Harmonizing Energy.; jobtitle: Investor; publicprofilechecked: checked	did:dkg:otp/0x5cac41237127f94c2d21dae0b14bfefa99880630/4162148
https://refidao.com/urn:profile:AkshayAditya	Akshay Aditya; de_plan is a network of planners, regens and environmentalists working toward three goals :  1. Building products for ReFi\n2. Providing consultancy services for ReFi projects\n3. Educating and nurturing a community of climate experts	type: Person; Akshay Aditya; de_plan is a network of planners, regens and environmentalists working toward three goals :  1. Building products for ReFi\n2. Providing consultancy services for ReFi projects\n3. Educating and nurturing a community of climate experts; description: de_plan is a network of planners, regens and environmentalists working toward three goals :  1. Building products for ReFi\n2. Providing consultancy services for ReFi projects\n3. Educating and nurturing a community of climate experts; jobtitle: Founder; publicprofilechecked: checked; knowsabout: Agriculture,Animals,Biodiversity,Forestry,Water,MRV; alumniof: de_plan; creatorof: Top10ReFiGrantProgramsinQ42022; ispartof: Top10ReFiGrantProgramsinQ42022	did:dkg:otp/0x5cac41237127f94c2d21dae0b14bfefa99880630/4162148
https://refidao.com/urn:profile:AlWilliamRezTammsaar	Al William Rez Tammsaar; I'm a computer scientist by training - with a specialization in data science and user experience. I've known how to code for well over a decade, and it heavily affects the way I see systems and problems. My non-academic work has involved a lot of product management in one form or another. \n\nMy last obsession has been with the intricacies and complexities of the carbon markets. I'm actively involved in many projects and communities trying to make this market scale to its potential. I have a high conviction that this market is going to have a huge role to play in making sure humanity can survive the consequences of humanity's bad decisions.	type: Person; Al William Rez Tammsaar; I'm a computer scientist by training - with a specialization in data science and user experience. I've known how to code for well over a decade, and it heavily affects the way I see systems and problems. My non-academic work has involved a lot of product management in one form or another. \n\nMy last obsession has been with the intricacies and complexities of the carbon markets. I'm actively involved in many projects and communities trying to make this market scale to its potential. I have a high conviction that this market is going to have a huge role to play in making sure humanity can survive the consequences of humanity's bad decisions.; description: I'm a computer scientist by training - with a specialization in data science and user experience. I've known how to code for well over a decade, and it heavily affects the way I see systems and problems. My non-academic work has involved a lot of product management in one form or another. \n\nMy last obsession has been with the intricacies and complexities of the carbon markets. I'm actively involved in many projects and communities trying to make this market scale to its potential. I have a high conviction that this market is going to have a huge role to play in making sure humanity can survive the consequences of humanity's bad decisions.; jobtitle: Founder; publicprofilechecked: checked; alumniof: Solid World; memberof: ReFi Rabbit Hole, ReFi DAO Forum; ispartof: ReFi Podcast S2E18: State of the ReFi Nation with Rez from Solid World DAO,ReFi Roundup 36:  Bolsonaro  Lula	did:dkg:otp/0x5cac41237127f94c2d21dae0b14bfefa99880630/4162148
https://refidao.com/urn:profile:AlanChang	Alan Chang	type: Person; Alan Chang; jobtitle: Founder; publicprofilechecked: checked; alumniof: Tesseract	did:dkg:otp/0x5cac41237127f94c2d21dae0b14bfefa99880630/4162148
https://refidao.com/urn:profile:AlbertWegner	Albert Wegner	type: Person; Albert Wegner; jobtitle: Investor; publicprofilechecked: checked	did:dkg:otp/0x5cac41237127f94c2d21dae0b14bfefa99880630/4162148
https://refidao.com/urn:profile:AlejandroAdon	Alejandro Adon; My sights are set on revolutionizing the agriculture sector in the Dominican Republic, leveraging our ideal soil and climate to cultivate an array of fruits and vegetables.	type: Person; Alejandro Adon; My sights are set on revolutionizing the agriculture sector in the Dominican Republic, leveraging our ideal soil and climate to cultivate an array of fruits and vegetables.; description: My sights are set on revolutionizing the agriculture sector in the Dominican Republic, leveraging our ideal soil and climate to cultivate an array of fruits and vegetables.; jobtitle: Founder; publicprofilechecked: checked; knowsabout: Animals,Agriculture,Food Forests,Forestry,Biodiversity; knowslanguage: English,Spanish; alumniof: Kokonut Network; ispartof: coconutfarmsontheblockchainAlejandroAdonGitcoinClimate	did:dkg:otp/0x5cac41237127f94c2d21dae0b14bfefa99880630/4162148
https://refidao.com/urn:profile:AlejandroSoto	Alejandro Soto; The focus of the project is on quality education free for everyone	type: Person; Alejandro Soto; The focus of the project is on quality education free for everyone; description: The focus of the project is on quality education free for everyone; jobtitle: Founder; publicprofilechecked: checked; memberof: la educacin y la accin comunitaria.; creatorof: ReFi Medelln,ReFi Latam,ReFi Colombia; attendeeof: ReFi Medelln,I Encuentro ReFi Costa Rica,Aventura ReFi: Desvelando el futuro de ReFi Medelln a travs del juego	did:dkg:otp/0x5cac41237127f94c2d21dae0b14bfefa99880630/4162148
https://refidao.com/urn:profile:AlexBeralios	Alex Beralios	type: Person; Alex Beralios; jobtitle: Founder; publicprofilechecked: checked	did:dkg:otp/0x5cac41237127f94c2d21dae0b14bfefa99880630/4162148
https://refidao.com/urn:profile:AlexBissell	Alex Bissell; Carbonlinked tokenizes emission units from cap-and-trade programs, empowering the public to make it more expensive for industrial emitters to pollute, while gaining access to a scarce, deflationary asset.	type: Person; Alex Bissell; Carbonlinked tokenizes emission units from cap-and-trade programs, empowering the public to make it more expensive for industrial emitters to pollute, while gaining access to a scarce, deflationary asset.; description: Carbonlinked tokenizes emission units from cap-and-trade programs, empowering the public to make it more expensive for industrial emitters to pollute, while gaining access to a scarce, deflationary asset.; jobtitle: Founder; publicprofilechecked: checked	did:dkg:otp/0x5cac41237127f94c2d21dae0b14bfefa99880630/4162148
https://refidao.com/urn:profile:AlexFilotimo	Alex Filotimo; Investing in web3 for  w/  @AeraForce  DAO  Supporting the #ReFi investor ecosystem w/ http://web3climate.substack.com	type: Person; Alex Filotimo; Investing in web3 for  w/  @AeraForce  DAO  Supporting the #ReFi investor ecosystem w/ http://web3climate.substack.com; description: Investing in web3 for  w/  @AeraForce  DAO  Supporting the #ReFi investor ecosystem w/ http://web3climate.substack.com; jobtitle: Investor; publicprofilechecked: checked	did:dkg:otp/0x5cac41237127f94c2d21dae0b14bfefa99880630/4162148
https://refidao.com/urn:profile:AlexNavarro	Alex Navarro	type: Person; Alex Navarro; jobtitle: Founder; publicprofilechecked: checked; alumniof: ecoPros	did:dkg:otp/0x5cac41237127f94c2d21dae0b14bfefa99880630/4162148
https://refidao.com/urn:profile:AlexWick	Alex Wick; Master forester, entrepreneur, biometrician, and innovator building carbon negative solutions to climate chaos. 	type: Person; Alex Wick; Master forester, entrepreneur, biometrician, and innovator building carbon negative solutions to climate chaos. ; description: Master forester, entrepreneur, biometrician, and innovator building carbon negative solutions to climate chaos. ; jobtitle: Founder; publicprofilechecked: checked	did:dkg:otp/0x5cac41237127f94c2d21dae0b14bfefa99880630/4162148
https://refidao.com/urn:profile:AlexWitt	Alex Witt	type: Person; Alex Witt; jobtitle: Investor; publicprofilechecked: checked	did:dkg:otp/0x5cac41237127f94c2d21dae0b14bfefa99880630/4162148
https://refidao.com/urn:profile:AlexanderShedogubov	Alexander Shedogubov	type: Person; Alexander Shedogubov; publicprofilechecked: checked	did:dkg:otp/0x5cac41237127f94c2d21dae0b14bfefa99880630/4162148
https://refidao.com/urn:profile:AliKonuk	Ali Konuk	type: Person; Ali Konuk; jobtitle: Founder; publicprofilechecked: checked; knowsabout: Agriculture,Biodiversity,Energy,Food Forests,Forestry,Ocean,Water; alumniof: Sustainable DAO	did:dkg:otp/0x5cac41237127f94c2d21dae0b14bfefa99880630/4162148
https://refidao.com/urn:profile:AlvarEmiliano	Alvar Emiliano	type: Person; Alvar Emiliano; jobtitle: Founder; publicprofilechecked: checked; alumniof: Raiz	did:dkg:otp/0x5cac41237127f94c2d21dae0b14bfefa99880630/4162148
https://refidao.com/urn:profile:AlvinLin	Alvin Lin	type: Person; Alvin Lin; publicprofilechecked: checked	did:dkg:otp/0x5cac41237127f94c2d21dae0b14bfefa99880630/4162148
https://refidao.com/urn:profile:AlwynvanWyk	Alwyn van Wyk; ixo aims to finance and verify regenerative changes in the state of the world at Internet Scale.	type: Person; Alwyn van Wyk; ixo aims to finance and verify regenerative changes in the state of the world at Internet Scale.; description: ixo aims to finance and verify regenerative changes in the state of the world at Internet Scale.; jobtitle:  Contributor; publicprofilechecked: checked	did:dkg:otp/0x5cac41237127f94c2d21dae0b14bfefa99880630/4162148
https://refidao.com/urn:profile:AmaanPirani	Amaan Pirani	type: Person; Amaan Pirani; jobtitle: Founder; publicprofilechecked: checked; alumniof: Equinova	did:dkg:otp/0x5cac41237127f94c2d21dae0b14bfefa99880630/4162148
https://refidao.com/urn:profile:AmberBuchtela	Amber Buchtela; Community activist	type: Person; Amber Buchtela; Community activist; description: Community activist; jobtitle:  Contributor; publicprofilechecked: checked	did:dkg:otp/0x5cac41237127f94c2d21dae0b14bfefa99880630/4162148
https://refidao.com/urn:profile:AmirAwan	Amir Awan; phd drop out - researching intersection of tech innovations and true market demand - from a business + economy + technology + marketing perspective. Researching web3 along different research questions understanding web3 ecosystems and real world applications with focus on Industrie 4.0 and ESG but also other Industries. Consultancy under and without Prof Dr. Dr. h.c. Kluas Backhaus WWU mnster with public listed companies + SME + Family companies on digtal transformation  + active customers from PPG, Audi, Mercedes, atc in our Family Business (Trade). Love to teach across different fields along tech, marketing, sales, ecosystem/platform from a academic and strategic perspective. Thats what the phd topic was essentially about. 	type: Person; Amir Awan; phd drop out - researching intersection of tech innovations and true market demand - from a business + economy + technology + marketing perspective. Researching web3 along different research questions understanding web3 ecosystems and real world applications with focus on Industrie 4.0 and ESG but also other Industries. Consultancy under and without Prof Dr. Dr. h.c. Kluas Backhaus WWU mnster with public listed companies + SME + Family companies on digtal transformation  + active customers from PPG, Audi, Mercedes, atc in our Family Business (Trade). Love to teach across different fields along tech, marketing, sales, ecosystem/platform from a academic and strategic perspective. Thats what the phd topic was essentially about. ; description: phd drop out - researching intersection of tech innovations and true market demand - from a business + economy + technology + marketing perspective. Researching web3 along different research questions understanding web3 ecosystems and real world applications with focus on Industrie 4.0 and ESG but also other Industries. Consultancy under and without Prof Dr. Dr. h.c. Kluas Backhaus WWU mnster with public listed companies + SME + Family companies on digtal transformation  + active customers from PPG, Audi, Mercedes, atc in our Family Business (Trade). Love to teach across different fields along tech, marketing, sales, ecosystem/platform from a academic and strategic perspective. Thats what the phd topic was essentially about. ; jobtitle:  Contributor; publicprofilechecked: checked; knowslanguage: English,German; ispartof: GitcoinAlphaReFiDavos	did:dkg:otp/0x5cac41237127f94c2d21dae0b14bfefa99880630/4162148
https://refidao.com/urn:profile:AmySeidman	Amy Seidman; Amy Seidman, CEO and founder of Noble Profit, is an early pioneer of interactive media. Amy and the core team at Noble Profit created BFlo technology using blockchain for sustainability reporting and transparency.\n\nIn her prior incarnations, Amy created technology experiences for companies like PacBell, Lotus, Sun, ValueClick Media, Disney, MGM, Warner Brothers, Fox, and launched design firm Creative Entity.\n\nAmy's activism and passion for the environment has been expressed through award-winning photography, art, film, writing, music and education. She formed Incredible Places, Made For the Media, and served as a NPS technology advisor, a scientific visualization artist fellow at SNRI in Yosemite, UNEP blockchain advisor and a myriad of NGO initiatives.	type: Person; Amy Seidman; Amy Seidman, CEO and founder of Noble Profit, is an early pioneer of interactive media. Amy and the core team at Noble Profit created BFlo technology using blockchain for sustainability reporting and transparency.\n\nIn her prior incarnations, Amy created technology experiences for companies like PacBell, Lotus, Sun, ValueClick Media, Disney, MGM, Warner Brothers, Fox, and launched design firm Creative Entity.\n\nAmy's activism and passion for the environment has been expressed through award-winning photography, art, film, writing, music and education. She formed Incredible Places, Made For the Media, and served as a NPS technology advisor, a scientific visualization artist fellow at SNRI in Yosemite, UNEP blockchain advisor and a myriad of NGO initiatives.; description: Amy Seidman, CEO and founder of Noble Profit, is an early pioneer of interactive media. Amy and the core team at Noble Profit created BFlo technology using blockchain for sustainability reporting and transparency.\n\nIn her prior incarnations, Amy created technology experiences for companies like PacBell, Lotus, Sun, ValueClick Media, Disney, MGM, Warner Brothers, Fox, and launched design firm Creative Entity.\n\nAmy's activism and passion for the environment has been expressed through award-winning photography, art, film, writing, music and education. She formed Incredible Places, Made For the Media, and served as a NPS technology advisor, a scientific visualization artist fellow at SNRI in Yosemite, UNEP blockchain advisor and a myriad of NGO initiatives.; publicprofilechecked: checked	did:dkg:otp/0x5cac41237127f94c2d21dae0b14bfefa99880630/4162148
https://refidao.com/urn:profile:AnaMariaMahecha	Ana Maria Mahecha	type: Person; Ana Maria Mahecha; jobtitle: Founder; publicprofilechecked: checked; knowsabout: Agriculture,Biodiversity,Food Forests,Forestry; alumniof: KOKO DAO; ispartof: RegenerativeFinanceisallaboutcreatingsystemsthatregeneratetheirresourcecapacityovertime	did:dkg:otp/0x5cac41237127f94c2d21dae0b14bfefa99880630/4162148
https://refidao.com/urn:profile:AnaTrbovich	Ana Trbovich	type: Person; Ana Trbovich; jobtitle: Founder; publicprofilechecked: checked; alumniof: Energy Web	did:dkg:otp/0x5cac41237127f94c2d21dae0b14bfefa99880630/4162148
https://refidao.com/urn:profile:AnaWadovski	Ana Wadovski; Co-founder at Go Digital Factory, a company that provides education services on Innovation, Digital Transformation, and Web3.\nFounder of ESG Lake Startup, Top 10 Fiap Start Up One, and selected for the Venture Program of the European Institute for Innovation & Technology (EIT).\n\nMBA in Digital Business from Fiap, enthusiast and researcher of the Metaverse and Web3, ESG, and Smart Cities. Bachelor's degree in Social Communication from FACHA, with a specialization in Executive Production from FGV - Rio, and currently pursuing a post-graduate degree in Project Management from IBMEC - DF.\nStartup mentor at UPTEC Porto in Portugal and InovAtiva in Brazil. Mentor for digital businesses at Vamos Tirar do Papel.\n\nWorked with major clients in the public and private sectors for over 10 years in advertising agencies and audiovisual production companies, including Globosat, NatGeo, BBC, Turner, Caixa, Uber, and Montreal	type: Person; Ana Wadovski; Co-founder at Go Digital Factory, a company that provides education services on Innovation, Digital Transformation, and Web3.\nFounder of ESG Lake Startup, Top 10 Fiap Start Up One, and selected for the Venture Program of the European Institute for Innovation & Technology (EIT).\n\nMBA in Digital Business from Fiap, enthusiast and researcher of the Metaverse and Web3, ESG, and Smart Cities. Bachelor's degree in Social Communication from FACHA, with a specialization in Executive Production from FGV - Rio, and currently pursuing a post-graduate degree in Project Management from IBMEC - DF.\nStartup mentor at UPTEC Porto in Portugal and InovAtiva in Brazil. Mentor for digital businesses at Vamos Tirar do Papel.\n\nWorked with major clients in the public and private sectors for over 10 years in advertising agencies and audiovisual production companies, including Globosat, NatGeo, BBC, Turner, Caixa, Uber, and Montreal; description: Co-founder at Go Digital Factory, a company that provides education services on Innovation, Digital Transformation, and Web3.\nFounder of ESG Lake Startup, Top 10 Fiap Start Up One, and selected for the Venture Program of the European Institute for Innovation & Technology (EIT).\n\nMBA in Digital Business from Fiap, enthusiast and researcher of the Metaverse and Web3, ESG, and Smart Cities. Bachelor's degree in Social Communication from FACHA, with a specialization in Executive Production from FGV - Rio, and currently pursuing a post-graduate degree in Project Management from IBMEC - DF.\nStartup mentor at UPTEC Porto in Portugal and InovAtiva in Brazil. Mentor for digital businesses at Vamos Tirar do Papel.\n\nWorked with major clients in the public and private sectors for over 10 years in advertising agencies and audiovisual production companies, including Globosat, NatGeo, BBC, Turner, Caixa, Uber, and Montreal; publicprofilechecked: checked	did:dkg:otp/0x5cac41237127f94c2d21dae0b14bfefa99880630/4162148
https://refidao.com/urn:profile:AnantAvinashi	Anant Avinashi	type: Person; Anant Avinashi; jobtitle: Researcher; publicprofilechecked: checked	did:dkg:otp/0x5cac41237127f94c2d21dae0b14bfefa99880630/4162148
https://refidao.com/urn:profile:AnastasiaBoltrushevich	Anastasia Boltrushevich; Tokenized solutions for public goods creators, gamified web3 marketplace for public goods (MVP), air quality smart bot in development	type: Person; Anastasia Boltrushevich; Tokenized solutions for public goods creators, gamified web3 marketplace for public goods (MVP), air quality smart bot in development; description: Tokenized solutions for public goods creators, gamified web3 marketplace for public goods (MVP), air quality smart bot in development; jobtitle: Creator; publicprofilechecked: checked	did:dkg:otp/0x5cac41237127f94c2d21dae0b14bfefa99880630/4162148
https://refidao.com/urn:profile:AndrewCrosby	Andrew Crosby; Andrew is founder and director of Third Horizon Earth, an independent, Swiss-based nonprofit dedicated to finding and sharing regenerative innovation. New tech, old tech, no tech: we're interested in systemic design that serves to generate synergistic and mutually enriching, cross-disciplinary - domain strategies. By intensifying the exchange of knowledge and practice among innovators we intend to accelerate the process and adoption of regenerative innovation transforming communities and society more generally. 	type: Person; Andrew Crosby; Andrew is founder and director of Third Horizon Earth, an independent, Swiss-based nonprofit dedicated to finding and sharing regenerative innovation. New tech, old tech, no tech: we're interested in systemic design that serves to generate synergistic and mutually enriching, cross-disciplinary - domain strategies. By intensifying the exchange of knowledge and practice among innovators we intend to accelerate the process and adoption of regenerative innovation transforming communities and society more generally. ; description: Andrew is founder and director of Third Horizon Earth, an independent, Swiss-based nonprofit dedicated to finding and sharing regenerative innovation. New tech, old tech, no tech: we're interested in systemic design that serves to generate synergistic and mutually enriching, cross-disciplinary - domain strategies. By intensifying the exchange of knowledge and practice among innovators we intend to accelerate the process and adoption of regenerative innovation transforming communities and society more generally. ; publicprofilechecked: checked	did:dkg:otp/0x5cac41237127f94c2d21dae0b14bfefa99880630/4162148
https://refidao.com/urn:profile:AndriesSmit	Andries Smit	type: Person; Andries Smit; publicprofilechecked: checked	did:dkg:otp/0x5cac41237127f94c2d21dae0b14bfefa99880630/4162148
https://refidao.com/urn:profile:AngelaTaylor	Angela Taylor; Im an aerospace engineer who switched to software to become a digital nomad living abroad while working on green tech.	type: Person; Angela Taylor; Im an aerospace engineer who switched to software to become a digital nomad living abroad while working on green tech.; description: Im an aerospace engineer who switched to software to become a digital nomad living abroad while working on green tech.; jobtitle: Developer; publicprofilechecked: checked	did:dkg:otp/0x5cac41237127f94c2d21dae0b14bfefa99880630/4162148
